date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation
2020-06-10 13:00:00 CDT,1591812000,97.95,100.8,NNW,33,46,56,57,9,17.5,,,24100,,,6,,
2020-06-10 12:00:00 CDT,1591808400,97.93,100.8,NNW,34,32,40,72,10.2,15.2,,,24100,1,,7,,
2020-06-10 11:00:00 CDT,1591804800,97.9,100.8,N,35,31,48,78,10,13.8,,,24100,1,,8,,
2020-06-10 10:00:00 CDT,1591801200,97.86,100.7,N,35,31,48,83,10.6,13.3,,,24100,1,,8,,
2020-06-10 09:00:00 CDT,1591797600,97.81,100.7,NNW,33,35,45,84,10.8,13.4,,,24100,1,,8,,
2020-06-10 08:00:00 CDT,1591794000,97.79,100.6,NNW,34,32,38,84,10.7,13.2,,,24100,1,,7,,
2020-06-10 07:00:00 CDT,1591790400,97.79,100.7,NNW,33,28,41,92,10.7,12,,,9700,,,8,,
2020-06-10 06:00:00 CDT,1591786800,97.76,100.6,NW,31,24,,83,9.7,12.4,,,24100,1,,8,,
2020-06-10 05:00:00 CDT,1591783200,97.73,100.6,WNW,30,21,,86,10.1,12.5,,,24100,1,,8,,
2020-06-10 04:00:00 CDT,1591779600,97.76,100.7,NW,31,15,,88,10.3,12.2,,,24100,1,,8,,
2020-06-10 03:00:00 CDT,1591776000,97.76,100.6,NW,32,19,,86,10.4,12.8,,,24100,1,,8,,
2020-06-10 02:00:00 CDT,1591772400,97.79,100.7,NNW,33,13,,87,10.5,12.5,,,24100,1,,8,,
2020-06-10 01:00:00 CDT,1591768800,97.8,100.7,NNW,34,18,,88,10.9,12.8,,,24100,1,,8,,
2020-06-10 00:00:00 CDT,1591765200,97.87,100.7,N,36,12,,91,11.5,13,,,24100,1,,8,,
2020-06-09 23:00:00 CDT,1591761600,97.91,100.8,NNW,34,10,,84,10.7,13.3,,,24100,1,,8,,
2020-06-09 22:00:00 CDT,1591758000,97.91,100.8,NW,32,13,,79,10.4,13.9,,,24100,1,,8,,
2020-06-09 21:00:00 CDT,1591754400,97.89,100.7,WNW,29,11,,78,10.5,14.2,,,24100,1,,8,,
2020-06-09 20:00:00 CDT,1591750800,97.85,100.7,NNW,33,13,,81,11.8,15.1,,,24100,1,,8,,
2020-06-09 19:00:00 CDT,1591747200,97.86,100.7,NNW,34,17,,76,11.5,15.6,,,24100,1,,8,,
2020-06-09 18:00:00 CDT,1591743600,97.88,100.7,N,36,15,,74,11.5,15.9,,,24100,1,,8,,
2020-06-09 17:00:00 CDT,1591740000,97.89,100.7,N,36,20,,74,11.1,15.7,,,24100,1,,8,,
2020-06-09 16:00:00 CDT,1591736400,97.89,100.7,NNW,35,28,,78,11.8,15.5,,,19300,1,,8,,
2020-06-09 15:00:00 CDT,1591732800,97.92,100.8,NNW,34,27,,77,11.6,15.6,,,24100,1,,8,,
2020-06-09 14:00:00 CDT,1591729200,97.92,100.8,NNW,33,34,,79,11.6,15.1,,,24100,1,,8,,
2020-06-09 13:00:00 CDT,1591725600,97.91,100.8,NW,33,29,,81,12,15.3,,,24100,1,,8,,
2020-06-09 12:00:00 CDT,1591722000,97.85,100.7,NW,32,35,,81,12.2,15.4,,,24100,1,,8,,
2020-06-09 11:00:00 CDT,1591718400,97.8,100.6,NW,33,27,,79,12.7,16.2,,,24100,1,,8,,
2020-06-09 10:00:00 CDT,1591714800,97.8,100.6,NNW,34,25,31,81,12.9,16.1,,,24100,1,,8,,
2020-06-09 09:00:00 CDT,1591711200,97.77,100.6,NNW,33,26,,84,13.2,15.8,,,24100,1,,8,,
2020-06-09 08:00:00 CDT,1591707600,97.7,100.5,N,36,25,36,88,13.4,15.4,,,24100,1,,8,,
2020-06-09 07:00:00 CDT,1591704000,97.76,100.6,NW,32,31,37,90,13.5,15.1,,,16100,,,8,,
2020-06-09 06:00:00 CDT,1591700400,97.84,100.7,WNW,30,22,,91,14.8,16.3,,,16100,1,,8,,
2020-06-09 05:00:00 CDT,1591696800,97.72,100.6,NNW,34,25,,89,15.1,16.9,,,24100,1,,8,,
2020-06-09 04:00:00 CDT,1591693200,97.66,100.5,NW,32,22,31,91,15.8,17.3,,,24100,1,,8,,
2020-06-09 03:00:00 CDT,1591689600,97.68,100.5,NW,32,28,40,91,16.2,17.6,,,24100,1,,8,,
2020-06-09 02:00:00 CDT,1591686000,97.6,100.4,NNW,33,17,,93,17.3,18.5,,,24100,1,,8,,
2020-06-09 01:00:00 CDT,1591682400,97.58,100.4,NW,30,18,,95,18,18.9,,,24100,1,,4,,
2020-06-09 00:00:00 CDT,1591678800,97.62,100.4,NE,4,3,,90,19.1,20.8,,28,24100,1,,7,,
2020-06-08 23:00:00 CDT,1591675200,97.6,100.4,E,9,3,,83,19.8,22.7,,30,24100,1,,7,,
2020-06-08 22:00:00 CDT,1591671600,97.52,100.3,ESE,11,12,,80,19.8,23.4,,31,24100,1,,7,,
2020-06-08 21:00:00 CDT,1591668000,97.47,100.3,NNW,33,12,,77,20.5,24.7,,33,24100,1,,7,,
2020-06-08 20:00:00 CDT,1591664400,97.45,100.3,NW,32,8,,71,20.1,25.8,,33,24100,1,,6,,
2020-06-08 19:00:00 CDT,1591660800,97.41,100.2,WNW,30,9,,69,20.4,26.4,,34,24100,1,,6,,
2020-06-08 18:00:00 CDT,1591657200,97.41,100.2,W,27,5,,69,19.9,25.9,,33,24100,1,,7,,
2020-06-08 17:00:00 CDT,1591653600,97.49,100.3,SSE,16,11,,69,19.8,25.9,,33,24100,1,,7,,
2020-06-08 16:00:00 CDT,1591650000,97.42,100.2,E,9,12,,68,19.5,25.8,,33,24100,1,,7,,
2020-06-08 15:00:00 CDT,1591646400,97.45,100.3,ESE,11,19,,74,20,24.8,,32,24100,1,,7,,
2020-06-08 14:00:00 CDT,1591642800,97.47,100.3,ESE,10,16,,78,19,22.9,,30,24100,1,,7,,
2020-06-08 13:00:00 CDT,1591639200,97.47,100.3,ESE,12,13,,80,18.6,22.2,,29,24100,1,,8,,
2020-06-08 12:00:00 CDT,1591635600,97.48,100.3,E,8,7,,78,17.7,21.8,,28,24100,1,,7,,
2020-06-08 11:00:00 CDT,1591632000,97.45,100.3,ENE,7,8,,81,18,21.4,,27,24100,1,,8,,
2020-06-08 10:00:00 CDT,1591628400,97.45,100.3,ENE,8,10,,80,17.1,20.5,,26,24100,1,,7,,
2020-06-08 09:00:00 CDT,1591624800,97.46,100.3,ENE,7,5,,84,16.2,19,,,24100,1,,8,,
2020-06-08 08:00:00 CDT,1591621200,97.16,100,ESE,11,37,46,90,15.8,17.4,,,24100,1,,5,,
2020-06-08 07:00:00 CDT,1591617600,97.39,100.2,E,9,5,,92,15.7,17,,,24100,,,8,,
2020-06-08 06:00:00 CDT,1591614000,97.39,100.2,ESE,11,6,,95,15.2,16.1,,,24100,1,,5,,
2020-06-08 05:00:00 CDT,1591610400,97.43,100.3,SSE,16,16,,92,15.5,16.8,,,24100,1,,7,,
2020-06-08 04:00:00 CDT,1591606800,97.39,100.2,SE,13,23,,88,15.8,17.8,,,24100,1.1,,6,,
2020-06-08 03:00:00 CDT,1591603200,97.26,100.1,SE,13,32,48,89,16.2,18.1,,,24100,1.2,,8,,
2020-06-08 02:00:00 CDT,1591599600,97.35,100.2,S,17,43,55,94,17.2,18.2,,,24100,1.1,,8,,
2020-06-08 01:00:00 CDT,1591596000,97.47,100.3,S,19,31,48,90,17.4,19.1,,,24100,1,,8,,
2020-06-08 00:00:00 CDT,1591592400,97.53,100.4,SE,14,36,40,92,16.2,17.5,,,19300,1,,8,,
2020-06-07 23:00:00 CDT,1591588800,97.47,100.3,ESE,12,25,,85,15.1,17.6,,,24100,1,,8,,
2020-06-07 22:00:00 CDT,1591585200,97.35,100.2,ESE,11,27,36,83,14.6,17.5,,,24100,1,,7,,
2020-06-07 21:00:00 CDT,1591581600,97.24,100.1,E,10,30,39,80,14.3,17.8,,,24100,1,,8,,
2020-06-07 20:00:00 CDT,1591578000,97.3,100.1,ESE,11,35,45,77,14.8,18.9,,,24100,1,,7,,
